"country_name","country_code","year","time_code","consumer_price","inflation","inflation_deflator","net_nat_income_percapita_NY.ADJ.NNTY.PC.CD","net_nat_income_NY.ADJ.NNTY.CD","household_expenditure_GDP","household_expenditure_per_capita","household_expenditure_ppp","gdp_percapita_NY.GDP.PCAP.PP.CD","gdp_percapita_growth_NY.GDP.PCAP.KD.ZG","gdp_deflator_NY.GDP.DEFL.ZS","life_expectancy_SP.DYN.LE00.IN","health_expenditure_SH.XPD.CHEX.PP.CD","health_expenditure_per_cap","volatility_variable","cost_variable","is_g7","is_oecd","is_global_north","is_global_south"
"Korea, Rep.","KOR",-0.462137889132052,"YR2014",-0.290196780563248,-0.405279426572899,-0.37255340994368,0.0150227706446444,-0.302840116206014,-0.575980382026633,-0.0930304485515152,-0.497728307935339,-0.164475422073028,0.2763814701315,-0.22946104838645,0.755596286110009,-0.564437899052851,-0.409574487452446,0.0512295416972907,-0.718120077443031,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",-0.231068944566026,"YR2015",-0.276409745267996,-0.502562102481046,-0.0867133415338536,-0.00855255557671403,-0.307050465195966,-0.738121615786233,-0.0157249645722296,-0.480750548916056,-0.0279854355654279,0.194794605184529,-0.189849518218509,0.816980554512829,-0.508160495648823,-0.318123384297453,-0.282124895645671,-0.612357873977565,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",0,"YR2016",-0.257309244591526,-0.457149707528311,-0.237185849865431,0.0211202597500044,-0.297935547301029,-0.806071615557106,0.109483111482891,-0.473034332131255,0.0605963012303938,0.27154086675523,-0.164367274349438,0.867969100040982,-0.422577531531692,-0.231533288777526,-0.113727571899213,-0.355332774056903,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",0.231068944566026,"YR2017",-0.218717978962978,-0.290692011355029,-0.207488819464649,0.133508227859201,-0.267632752960987,-0.853752310342134,0.182801648118306,-0.467828552813905,0.133765942065062,0.365392298865873,-0.135281041517703,0.939254056895867,-0.368738184018553,-0.165720547249388,-0.248949451206291,-0.227564016526443,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",0.462137889132052,"YR2018",-0.188855854544013,-0.3708693964449,-0.425733425110005,0.211947724405736,-0.2453997785956,-0.79821971560916,0.243121359860639,-0.452099914187634,0.244257839261093,0.249740574134084,-0.128820935053426,0.939254056895867,-0.233694271204358,-0.0289005005370088,0.0859021539334471,-0.190225478559937,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",0.693206833698078,"YR2019",-0.180991856706518,-0.557896705180617,-0.591599534690706,0.130072900555485,-0.265453219256952,-0.727424480548227,0.00508400668598607,-0.445434514264742,0.287713372975273,0.0872043097677609,-0.140102286014358,1.0610325248563,-0.0256706370900254,0.102490403024184,-0.306828955445426,-0.160423250121746,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",0.924275778264104,"YR2020",-0.169917676176891,-0.531492069383231,-0.290158121459674,0.10794736189327,-0.270726297980527,-0.987912247009432,-1.6315997397856,-0.45306905237507,0.355363804810253,-0.688188650743054,-0.11926041448834,1.10162534750978,0.0275759561789151,0.176880655622234,-0.34307722875976,-0.0926785003441245,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",1.15534472283013,"YR2021",-0.11814722049655,-0.195880866777046,-0.139732324042807,0.259783207457146,-0.231352902880889,-1.03821933672787,0.481236451635692,-0.430429339119129,0.536898564298016,0.81017345685261,-0.0818597630892257,1.12192175883652,0.326309552405185,0.432111480843717,-0.0990245006936195,-0.540617518970964,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",1.38641366739616,"YR2022",-0.0100474698097855,0.247570968862387,-0.32631298037813,-0.748797202342677,-0.55668544436255,-0.791548603341827,0.631139047569065,-0.392255563766099,0.698410593566131,0.346976696099951,-0.0641164949842182,0.950144814193143,0.444692648762695,0.664929368792662,0.13151061813482,-0.761712215845437,FALSE,FALSE,FALSE,FALSE
"Korea, Rep.","KOR",1.61748261196218,"YR2023",0.0702502683201604,-0.00777814314003058,-0.227397080916326,-0.748797202342677,-0.55668544436255,-0.693151752207315,-0.00415452112053926,-0.375836189301946,0.826075940808465,-0.085919827723159,-0.0350377797947969,-1.2558402052132,-0.518044455013881,-0.743061888891871,-0.43838296700689,-0.715569678444063,FALSE,FALSE,FALSE,FALSE
"Mexico","MEX",-1.61748261196218,"YR2009",-0.523731835148923,0.283140859849838,0.171427972697795,-1.00728627237735,-0.45199909804167,1.65315132141437,-2.49168108702501,-0.418181460374851,-1.23038031820459,-2.61849008531495,-0.618946075057221,-0.787529966373535,-0.647982572830903,-0.95871718472123,-0.594357233114643,-0.625900232196038,FALSE,TRUE,FALSE,TRUE
"Mexico","MEX",-1.38641366739616,"YR2010",-0.452303235766455,0.0879348952381115,0.0622301749992535,-0.945229198257107,-0.413206514815465,1.81858965630484,0.34228637250807,-0.396958223257685,-1.19245838108555,0.535672011702467,-0.581602165278155,-0.77311951433155,-0.767543484786438,-0.96506033787347,-0.639571495687045,-0.716558764025808,FALSE,TRUE,FALSE,TRUE
"Mexico","MEX",-1.15534472283013,"YR2011",-0.391317498316736,-0.0403078900391789,0.224884390687619,-0.914413859412962,-0.391666985097868,1.74416848929836,0.355592140572869,-0.369180140694301,-1.12056003977706,0.115936085583437,-0.53106779468369,-0.737600794509757,-0.83389858066091,-0.950297824851681,-0.641852139906192,-0.768636940065971,FALSE,TRUE,FALSE,TRUE
"Mexico","MEX",-0.924275778264104,"YR2012",-0.315221680022032,0.0801964348777612,0.0834609652734443,-0.914030620036526,-0.387766912215644,1.65823762250657,-0.234432417056356,-0.354847616464004,-1.08148681654232,0.163295239027617,-0.488286911622722,-0.695181294836871,-0.789352631184722,-0.925802814068768,-0.644444711336845,-0.718175464685599,FALSE,TRUE,FALSE,TRUE
"Mexico","MEX",-0.693206833698078,"YR2013",-0.241876501734316,0.0279786752923751,-0.272579468051872,-0.892425971843749,-0.37123597848189,1.84240329243153,-0.117771673222938,-0.333794880605329,-1.07272575448068,-0.575244083102726,-0.471509943615949,-0.66169221614775,-0.745527710639343,-0.910769049671905,-0.646518709853728,-0.609202726235429,FALSE,TRUE,FALSE,TRUE
"Mexico","MEX",-0.462137889132052,"YR2014",-0.161494500553642,0.0642987010242983,0.0616537169857011,-0.873949883976986,-0.35648798443177,1.84943670982906,-0.239891082451711,-0.312883325598937,-1.03828247646017,-0.0879953004529584,-0.427764723898829,-0.649920297578243,-0.82337759146906,-0.913274830311158,-0.644659711171672,-0.653133983222906,FALSE,TRUE,FALSE,TRUE
